Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"Seychelles","Masayoshi Takanaka","Seychelles","Favorites Albums","Album","0600406363602","aatboc4fdkllb"
"Santana","Santana","Santana","Favorites Albums","Album","0886444593021","0886444593021"
"recorded LIVE and BEST-Early Alfa Years","Casiopea","recorded LIVE and BEST-Early Alfa Years","Favorites Albums","Album","4582290408576","k16mgbz2q3rnc"
"Plays","Chick Corea","Plays","Favorites Albums","Album","0888072186439","tekqco3325zwa"
"People, Hell & Angels","Jimi Hendrix","People, Hell & Angels","Favorites Albums","Album","0886443838864","0886443838864"
"Pastel Blues","Nina Simone","Pastel Blues","Favorites Albums","Album","0602567832096","h4xdwq38svtla"
"Out Of The Cool","The Gil Evans Orchestra","Out Of The Cool","Favorites Albums","Album","0060251744818","0060251744818"
"Our Man In Paris","Dexter Gordon","Our Man In Paris","Favorites Albums","Album","0060253744638","0060253744638"
"Orvieto","Chick Corea","Orvieto","Favorites Albums","Album","0060252779692","0060252779692"
"Octopus ","Gentle Giant","Octopus ","Favorites Albums","Album","0804471000480","0804471000480"
"Now He Sings, Now He Sobs","Chick Corea","Now He Sings, Now He Sobs","Favorites Albums","Album","0602577640971","q6tp03zz0ysja"
"At Town Hall","Nina Simone","At Town Hall","Favorites Albums","Album","5099968898250","5099968898250"
"Newport '63","John Coltrane","Newport '63","Favorites Albums","Album","0602577176135","n38leb2ky14ta"
"Nefertiti ","Miles Davis","Nefertiti ","Favorites Albums","Album","0196589816429","j44jtqyibxu1a"
"Morrison Hotel","The Doors","Morrison Hotel","Favorites Albums","Album","0603497927890","0603497927890"
"Mode For Joe","Joe Henderson","Mode For Joe","Favorites Albums","Album","0509999583645","0509999583645"
"Moanin'","Art Blakey & The Jazz Messengers","Moanin'","Favorites Albums","Album","0602537648078","zd37uuw658erc"
"Live At The Fillmore East (March 7, 1970) - It's About That Time","Miles Davis","Live At The Fillmore East (March 7, 1970) - It's About That Time","Favorites Albums","Album","0696998519121","0696998519121"
"Miles Davis And The Modern Jazz Giants","Miles Davis","Miles Davis And The Modern Jazz Giants","Favorites Albums","Album","0088807239042","0088807239042"
"Meditations","John Coltrane","Meditations","Favorites Albums","Album","0060251792037","0060251792037"
"Masterpieces By Ellington ","Duke Ellington","Masterpieces By Ellington ","Favorites Albums","Album","0696998704329","0696998704329"
"LUPIN THE THIRD JAZZ ー Another ""JAZZ""","Yuji Ohno","LUPIN THE THIRD JAZZ ー Another ""JAZZ""","Favorites Albums","Album","4988021847650","ldundja71k6ma"
"Lost in sound","Yusef Lateef","Lost in sound","Favorites Albums","Album","8427328603485","8427328603485"
